menu deploy,,deploy in main menu,部署,,在主菜单中配置/（部署）
auto import nodes,,Settings > Network > Add network,自动输入节点,,设置>网络>新增网络
request,,Settings > Network > Requests,请求,,设置>网络>请求
node requests errors,,Settings > Network > Requests,节点请求错误,,设置>网络>请求
requested at,,Settings > Network > Requests,要求至,,设置>网络>请求
network id,,Settings > Network > Requests,网络id,,设置>网络>请求
names paragraph,,Settings > Names > Names,域名段落,,设置>域名>名字
show only names my accounts,,Settings > Names > Names,只显示账户名字,,设置>域名>名字
type,,Settings > Names > Names,类别,,设置>域名>名字
owner,,Settings > Names > Names,所有者,,设置>域名>名字
blockchain address,,,区块连地址,,
servers,,Settings > Names > Names,服务器,,设置>域名>名字
origin,,Settings > Names > Names,origin,,设置>域名>名字
loaded at,,Settings > Names > Names,读取至,,设置>域名>名字
add local name,,Settings > Names > Add local name,新增本地域名,,设置>域名>新增本地域名
add a local name,,Settings > Names > Add local name,增加一个新本地域名,,设置>域名>新增本地域名
add local name paragraph,,Settings > Names > Add local name,新增本地域名段落,,设置>域名>新增本地域名
record,,Settings > Names > Add local name,存取,,设置>域名>新增本地域名
name,,Settings > Names > Add local name,域名,,设置>域名>新增本地域名
application type,,Settings > Names > Add local name,应用类型,,设置>域名>新增本地域名
ip,,Settings > Names > Add local name,ip,,设置>域名>新增本地域名
ip servers,,Settings > Names > Add local name,ip服务器,,设置>域名>新增本地域名
setup ip servers,,Settings > Names > Add local name,设置ip服务器,,设置>域名>新增本地域名
back,,Settings > Names > Add local name,退回,,设置>域名>新增本地域名
ip address,,Settings > Names > Add local name,ip地址,,设置>域名>新增本地域名
host name,,Settings > Names > Add local name,主机名,,设置>域名>新增本地域名
certificate,,Settings > Names > Add local name,证书,,设置>域名>新增本地域名
primary server,,Settings > Names > Add local name,主服务器,,设置>域名>新增本地域名
primary server paragraph,,Settings > Names > Add local name,主服务器段落,,设置>域名>新增本地域名
add a server,,Settings > Names > Add local name,新增服务器,,设置>域名>新增本地域名
save ip servers,,Settings > Names > Add local name,保存ip服务器,,设置>域名>新增本地域名
purchase name,,Settings > Names > Purchase name,购买域名,,设置>域名>购买域名
purchase a name,,Settings > Names > Purchase name,购买一个新域名,,设置>域名>购买域名
purchase name paragraph,,Settings > Names > Purchase name,购买域名段落,,设置>域名>购买域名
password for,,Settings > Names > Purchase name,密码,,设置>域名>购买域名
dappy beta warning,,Settings > Names > Purchase name,Dappy beta版本警告,,设置>域名>购买域名
use private key,,Settings > Names > Purchase name,使用私钥,,设置>域名>购买域名
update name,,Settings > Names > Update name,更新域名,,设置>域名>更新域名
update a name,,Settings > Names > Update name,更新一个域名,,设置>域名>更新域名
update name paragraph,,Settings > Names > Update name,更新域名段落,,设置>域名>更新域名
name request successes,,Settings > Names > Requests,域名请求成功,,设置>域名>请求
requested at,,Settings > Names > Requests,请求至,,设置>域名>请求
duration,,Settings > Names > Requests,时长,,设置>域名>请求
nodes reached,,Settings > Names > Requests,已连接节点,,设置>域名>请求
nodes not reached,,Settings > Names > Requests,未连接节点,,设置>域名>请求
error,,Settings > Names > Requests,错误,,设置>域名>请求
success,,Settings > Names > Requests,成功,,设置>域名>请求
add one locally,,Settings > Names (add one locally),新增本地,,设置>域名（新增本地）
names paragraph 3,,Settings > Names (Of course it must not conflict with an existing name.),域名段落3,,设置>域名（务必不与现有域名冲突）
dapp (web application),,Deploy > Dapp,Dapp 分布式应用（网页应用）,,配置/（部署）>分布式应用
deploy (step 1),,Deploy > Dapp,配置/（部署）（设置1）,,配置/（部署）>分布式应用
deploy dapp note,,Deploy > Dapp,配置/（部署）分布式应用说明,,配置/（部署）>分布式应用
predefined dapps,,Deploy > Dapp,预定义分布式应用,,配置/（部署）>分布式应用
javascript libraries,,Deploy > Dapp,javascript 库,,配置/（部署）>分布式应用
javascript libraries expl,,Deploy > Dapp,javascript libraries expl,,配置/（部署）>分布式应用
javascript code,,Deploy > Dapp,javascript 代码,,配置/（部署）>分布式应用
javascript code expl,,Deploy > Dapp,javascript code expl,,配置/（部署）>分布式应用
css libraries,,Deploy > Dapp,css 库,,配置/（部署）>分布式应用
css libraries expl,,Deploy > Dapp,css 库 expl,,配置/（部署）>分布式应用
css code,,Deploy > Dapp,css 代码,,配置/（部署）>分布式应用
css code expl,,Deploy > Dapp,css 代码 expl,,配置/（部署）>分布式应用
html code,,Deploy > Dapp,html 代码,,配置/（部署）>分布式应用
html code expl,,Deploy > Dapp,html 代码 expl,,配置/（部署）>分布式应用
next,,Deploy > Dapp,下一个,,配置/（部署）>分布式应用
file,,Deploy > File,文件,,配置/（部署）>文件
file upload (step 1),,Deploy > File,文件上传（设置1）,,配置/（部署）>文件
deploy file note,,Deploy > File,部署文件说明,,配置/（部署）>文件
drop any file,,Deploy > File,放入任何文件,,配置/（部署）>文件
rholang,,Deploy > Rholang,rholang,,配置/（部署）>Rholang
deploy rholang (step 1),,Deploy > Rholang,配置/（部署）rholang,,配置/（部署）>Rholang
sent at,,Transactions,发送到,,转账
id (local),,Transactions,id（本地）,,转账
status,,Transactions,状态,,转账
